id,created_at,published_at,nome,sigla,preco,oscilacao_dia,liquidez,ultimo_rendimento,dy,pl,rentabilidade_mes,descricao,data_construcao_fundo,num_cotas_emitidas,vi_cota,tipo_gestao,publico_alvo,mandato,segmento,prazo_duracao,taxa_adm,yd_1,yd_3,yd_6,yd_12,yd_1_p,yd_3_p,yd_6_p,yd_12_p,num_ativos,num_estados,url
381,2019-07-20 09:36:20.546000,2019-07-20 09:36:20.546000,FDO INV IMOB GRAND PLAZA SHOPPING,ABCP11,103.49,+0.30,3110,0.45,0.41,910mi,1.01,"


ABCP11 – Um FII De Shopping
ABCP11 é um fundo imobiliário do
tipo tijolo. O foco dos seus investimentos está majoritariamente em
propriedades de shoppings.
Fundos de tijolo como ABCP11
possuem essa característica pelo motivo de obterem imóveis físicos, podendo o
fundo rentabilizar através da compra ou construção para gerar aluguéis ou
também ganhar com a venda dos imóveis.
O FII Grand Plaza Shopping é
um fundo de investimento imobiliário do tipo ANBIMA renda gestão passiva de
segmento shoppings. É constituído sob a forma de condomínio fechado, com prazo
de duração indeterminado, sendo regido por seu regulamento e pelas disposições
legais que lhe forem aplicáveis.
Características do fundo ABCP11
O Fundo Imobiliário Grand
Plaza Shopping foi constituído em maio de 1996 e tem por objeto o
desenvolvimento e a comercialização de empreendimentos, por meio da aquisição
de imóveis destinados à revenda ou incorporações imobiliárias, para posterior
alienação, locação ou arrendamento.
Limitado a 25% do patrimônio
líquido do fundo, a parcela não aplicada nos ativos imobiliários poderá ser
aplicada em ativos de renda fixa, públicos ou privados.
As cotas do ABCP11 são destinadas
a investidores em geral, pessoas físicas e jurídicas, fundos de investimento,
ou quaisquer outros veículos de investimento, domiciliados ou com sede no
Brasil ou no exterior.
O fundo tem por objetivo
fundamental, no longo prazo, a obtenção de ganho de capital com geração de
renda mediante a exploração dos ativos, e, consequentemente, proporcionar a
seus cotistas a valorização de suas cotas.
É administrado pela Rio Bravo
Investimentos DTVM Ltda. 
As cotas do FII Grand Plaza
Shopping são negociadas com o código (ticker) ABCP11 no mercado de
bolsa da B3 - Brasil, Bolsa e Balcão.
Sua taxa de administração é de 0,10%
ao ano sobre o patrimônio líquido com mínimo de R$ 51.500,00 mensais corrigido
pelo IGPM.
A política
de distribuição de rendimentos do ABCP11 deve distribuir a seus
cotistas, no mínimo, 95% dos resultados auferidos, apurados segundo o regime de
caixa.
Os lucros auferidos mensalmente
pelo fundo, serão distribuídos aos cotistas até o 5º dia útil do mês
imediatamente subsequente ao de referência, a título de antecipação dos lucros
do semestre a serem distribuídos.
Farão jus aos lucros referidos
acima os titulares de cotas do fundo que estiverem registrados no sistema de
escrituração no dia da divulgação da distribuição de rendimentos.
FII Grand Plaza Shopping – ABCP11
As
aplicações realizadas no fundo não contam com garantia do Administrador ou do
Fundo Garantidor de Crédito, não podendo o administrador ser responsabilizado
por eventuais depreciações dos ativos que compõem a carteira do fundo.
Portanto, é recomendado a leitura
cuidadosa do prospecto e do regulamento do fundo de investimento pelo
investidor ao aplicar seus recursos.
Para conferir outros dados e
indicadores do ABCP11, continue navegando em nosso site. Temos todas as
informações necessárias disponíveis aqui.



",15 de Maio de 1996,1000000,1.00,Passiva,Investidores em Geral,Renda,Shoppings,Indeterminado,"R$ 42.402 ao mês, atualizado anualmente pelo IGP-M.",0.4500,1.3500,2.9000,5.5000,0.43,1.30,2.80,5.31,1,1,https://www.fundsexplorer.com.br/funds/ABCP11
382,2019-07-20 09:36:25.575000,2019-07-20 09:36:25.575000,ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB,ALZR11,105.50,+0.42,18987,0.44,0.42,270mi,-0.99,"


ALZR11 – Um Fundo Focado Em Contratos De Locação Atípicos
ALZR11 é um fundo imobiliário do
tipo tijolo. Seus investimentos tem como base a
aquisição de imóveis físicos.
O objeto do ALZR11 é o
investimento em empreendimentos imobiliários não residenciais (exceto hospitais
e plantas industriais pesadas), que atendam os critérios de elegibilidade dos
ativos-alvo, com a finalidade de locação por meio de contratos atípicos.
O ALIANZA TRUST RENDA
IMOBILIÁRIA – ALZR11 é um fundo constituído sob a forma de
condomínio fechado, com prazo de duração indeterminado. Seus recursos serão
aplicados, sob a gestão da administradora, segundo uma política de
investimentos definida de forma a proporcionar ao cotista uma remuneração para
o investimento realizado.
Características do fundo ALZR11
Constituído por meio do “Regulamento
do Alianza Trust Renda
Imobiliária – Fundo de Investimento Imobiliário” o fundo iniciou suas negociações
em janeiro de 2018.
É administrado pelo BTG PACTUAL
SERVIÇOS FINANCEIROS S.A. DTVM e sua gestão é feita pela Alianza Gestão de Recursos Ltda.
A Alianza
é uma gestora de recursos focada exclusivamente em investimentos imobiliários
que atua em todo Brasil.
Seu objetivo principal é alocar
capital de nossos investidores em propriedades alugadas para grandes empresas
por meio de operações de Built-To-Suit (BTS) e Sale&LeaseBack (SLB).
As cotas do Alianza Trust são negociadas com o código (ticker) ALZR11 no mercado de bolsa da B3 - Brasil, Bolsa e Balcão.
Sua taxa de administração é 0,20%
ao ano sobre patrimônio líquido ou valor de mercado do fundo se o fundo fizer
parte de índice de mercado (IFIX) (mínimo de R$ 25.000,00 mensais corrigido
pelo IGPM).
Possui também uma taxa de gestão
de 0,70% ao ano sobre patrimônio líquido ou valor de mercado do fundo se o
fundo fizer parte de índice de mercado (IFIX).
Escrituração 0,10% ao ano sobre
patrimônio líquido ou valor de mercado do fundo se o fundo fizer parte de
índice de mercado (IFIX).
Agora falando da política de
distribuição de rendimentos do ALZR11, será distribuído no mínimo 95%
dos lucros auferidos pelo fundo, apurados segundo o regime de caixa.
Alianza Trust Renda Imobiliária - ALZR11
As aplicações realizadas no fundo
não contam com garantia do Administrador ou do Fundo Garantidor de Crédito, não
podendo o administrador ser responsabilizado por eventuais depreciações dos
ativos que compõem a carteira do fundo.
Portanto, é recomendado a leitura
cuidadosa do prospecto e do regulamento do fundo de investimento pelo
investidor ao aplicar seus recursos.
Para conferir outros dados e
indicadores do ALZR11, continue navegando em nosso site. Temos todas as
informações necessárias disponíveis aqui.



",22 de Setembro de 2017,997042,100.00,Ativa,Investidores em Geral,Renda,Outros,Indeterminado,"0,20% a.a. aobre PL, com mínimo mensal de R$ 25.000, atualizado pelo IGP-M",0.4387,1.7577,3.7349,7.6169,0.42,1.67,3.54,7.22,2,2,https://www.fundsexplorer.com.br/funds/ALZR11
383,2019-07-20 09:36:33.184000,2019-07-20 09:36:33.184000,CSHG ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB-FII,ATSA11,106.00,+0.00,52,0.61,0.58,190mi,-2.66,"


                  O CSHG Atrium Shopping Santo André Fundo de Investimento Imobiliário–FII é constituído sob a forma de condomínio fechado, regido pelo seu regulamento e pelas disposições legais
e regulamentares que lhe forem aplicáveis, podendo dele participar, na qualidade de cotistas, pessoas físicas e jurídicas, investidores institucionais, residentes e domiciliadas no Brasil ou
no exterior, bem como fundos de investimento.
O Fundo encerrou a distribuição com a subscrição de 100.000 cotas da primeira emissão em 17 de março de 2011. A segunda emissão, de 59.520 cotas, teve a distribuição encerrada com a subscrição da totalidade das cotas em 05 de novembro de 2012. A terceira emissão, de 12.000 cotas, teve a distribuição encerrada com a subscrição da totalidade das cotas em 14 de janeiro de 2016.
                


",13 de Dezembro de 2010,100000,1.000.00,Ativa,Investidor Qualificado,Desenvolvimento para Renda,Shoppings,Indeterminado,"0,50% a.a. sobre o valor de mercado das cotas",0.6100,1.2100,1.3100,2.1700,0.58,1.14,1.24,2.05,1,1,https://www.fundsexplorer.com.br/funds/ATSA11
384,2019-07-20 09:36:35.268000,2019-07-20 09:36:35.268000,BB FDO INV IMOB PROGRESSIVO,BBFI11B,2580.00,-1.32,113,24.35,0.84,400mi,12.50,"


                  O BB Fundo de Investimento Imobiliário Progressivo é um fundo destinado a pessoas físicas e jurídicas com objetivo de investimento de longo prazo, remunerado a partir da locação de imóveis comerciais.
                


",26 de Julho de 2004,130000,1.000.00,Passiva,Investidores em Geral,Renda,Lajes Corporativas,Indeterminado,N/A,24.3509,74.4729,150.3196,291.6411,0.94,2.89,5.83,11.30,2,2,https://www.fundsexplorer.com.br/funds/BBFI11B
385,2019-07-20 09:36:37.897000,2019-07-20 09:36:37.897000,BB PROGRESSIVO II FDO INV IMOB - FII,BBPO11,147.69,+0.06,16633,1.02,0.70,1.6bi,2.96,"


                  O Fundo tem por objeto a realização de investimentos imobiliários, por meio da aquisição de Ativos Alvo, com vistas à obtenção de renda através da locação destes aos Locatários, ou Ativos
de Investimento, observados os termos e condições do Regulamento, bem como da legislação e regulamentação vigentes.
                


",30 de Setembro de 2011,15919690,100.00,Passiva,Investidores em Geral,Renda,Lajes Corporativas,Indeterminado,"0,28% a.a sobre PL contábil do Fundo",1.0249,3.0746,6.1492,12.2545,0.69,2.08,4.16,8.30,64,14,https://www.fundsexplorer.com.br/funds/BBPO11
386,2019-07-20 09:36:40.377000,2019-07-20 09:36:40.377000,BB RENDA CORPORATIVA FDO INV IMOB - FII,BBRC11,135.40,-0.07,856,0.92,0.68,160mi,1.41,"


                  Fundo de Investimento Imobiliário sob administração da Votorantim Asset Management, escrituração e custódia das cotas pelo Banco do Brasil S/A, consultor imobiliário contratado Cushman & Wakefield. O Fundo foi constituído sob a forma de condomínio fechado e por prazo indeterminado, sendo regido pela Lei nº 8.668, de 25 de junho de 1993, conforme alterada, pela Instrução CVM 472 e pelas demais disposições legais e regulamentares que lhe forem aplicáveis, bem como pelo disposto em seu regulamento, o qual foi alterado e consolidado pela última vez em 31 de maio de 2011, devidamente registrado em 07 de junho de 2011, sob o nº 5144808, perante o 4º Ofício de Registro de Títulos e Documentos da Cidade de São Paulo (“Regulamento”).
                


",29 de Dezembro de 2010,1590000,100.00,Passiva,Investidores em Geral,Desenvolvimento para Renda,Outros,Indeterminado,"0,60% ao ano sobre o Patrimônio Líquido do Fundo",0.9200,2.7600,5.5200,11.0700,0.68,2.04,4.08,8.18,20,1,https://www.fundsexplorer.com.br/funds/BBRC11
387,2019-07-20 09:36:43.148000,2019-07-20 09:36:43.148000,FDO INV IMOB BB VOTORANTIM JHSF C JARD CONT TOWER,BBVJ11,61.01,-1.58,31299,0.33,0.61,160mi,19.96,"


                  O  objetivo  do  Fundo  é  proporcionar  aos  cotistas  uma  renda  mensal  por  meio  de  locação  das  lajes  corporativas  do empreendimento Cidade Jardim Continental Tower.
O   Fundo   investirá   seu   patrimônio   na aquisição  de   até   13   andares,   que   correspondem   a  até   22.790   m²   do empreendimento Cidade Jardim Continental Tower, parte do complexo Parque Cidade Jardim, localizado na Marginal Pinheiros, na cidade de São Paulo, que inclui Shopping Center, 3 torres de escritórios, e 9 torres residenciais.
• Nome do Produto: Fundo de Investimento Imobiliário BB Votorantim JHSF Cidade Jardim Continental Tower 
• Objetivo de Rentabilidade Liquida 0,80% ao mês
• Distribuição  de  Rendimentos: Mensal.  Inicialmente  estimado  em  0,80%  liquido  ao  cotista,  pagos  pela  JHSF  e, após o período de garantias será gerada pela locação das lajes corporativas.
• Tipo de Fundo: Fundo Fechado – Fundo Imobiliário Gerador de Renda.
• Prazo do Fundo: Indeterminado.
• Tipo de Investidor: Somente Investidores Qualificados, pessoas jurídicas, físicas e institucional
• Público Alvo: Pessoas Físicas e Fundos de Pensão
• Liquidez: Não há resgates de cotas do Fundo. As cotas poderão ser negociadas na BOVESPA, Megabolsa.
• Valor da Cota na emissão:R$ 100,00
• Aplicação Mínima por cotista: R$ 10 mil, 100 cotas
• Taxa de Administração: 1,00% a.a. sobre o Patrimônio Líquido do Fundo
• Taxa do Consultor Imobiliário: 0,15% a.a. Essa taxa é descontada da taxa de administração do Fundo.
• Taxa  de  Performance: Poderá  ocorrer  no  período  Pós  Chaves  (previsão  Jun/12  até  Jan/14),  e  será  limitado  a 20% do valor do Prêmio, se houver. 
• Estruturador: Votorantim Asset Management DTVM (VAM)
• Coordenadores da oferta: BB DTVM e Banco Votorantim
• Administrador e Gestor: Votorantim Asset Management DTVM (VAM)
• Consultor  imobiliário:  A Companhia  Administradora  de  Empreendimentos  e  Serviços – CAES,  100%  controlada pela JHSF Participações 
• Custodiante e Controlador: Citibank Distribuidora de Títulos e Valores Mobiliários 
• Escriturador de Cotas: Votorantim Asset Management DTVM (VAM)
• Auditor Independente:PriceWaterhouseCoopers Auditores Independentes
• Assessor Legal: Souza, Cescon, Barrieu & Flesch
• Laudo de Avaliação Inicial: Colliers International e Jones Lang La Salle 
• Incorporador: JHSF Participações.
• Construtora: Hochtief do Brasil
• Oferta Pública: R$ 311.650.000,00
• 1°  série  (pagamento  do  Preço  Fixo  do  imóvel  acrescido  do  ITBI):  R$  271  milhões,  reserva  e/ou  subscrição durante o período de captação, com previsão de integralização em 28/12/2010. 
• 2°  série  (pagamento  do  prêmio):  máximo  de  R$  40.650.000,00,  com  subscrição  no  mesmo  momento  da subscrição da 1° série e com integralização entre jun/2012 (previsão do habite-se) e jan/2014, avisado com 20 dias de antecedência.
                


",28 de Dezembro de 2010,2710000,100.00,Passiva,Investidor Qualificado,Desenvolvimento para Renda,Lajes Corporativas,Indeterminado,"0,70% a.a. sobre o Patrimônio Líquido do Fundo",0.3300,0.3900,0.4800,0.4930,0.54,0.64,0.79,0.81,1,1,https://www.fundsexplorer.com.br/funds/BBVJ11
388,2019-07-20 09:36:45.590000,2019-07-20 09:36:45.590000,FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS,BCFF11,92.80,+1.09,25243,0.57,0.63,740mi,4.86,"


                  O Fundo de Investimento Imobiliário–FII BTG Fundo De Fundos, foi constituído sob a forma de condomínio fechado, com prazo de duração indeterminado, pelo regulamento, e pelas disposições legais e regulamentares que lhe forem aplicáveis.
                


",27 de Agosto de 2009,1452738,96.40,Ativa,Investidores em Geral,Renda,Títulos e Val Mob,Indeterminado,"0,15% a.a. sobre o valor de mercado do fundo",0.5700,1.6300,3.1200,6.4000,0.61,1.76,3.36,6.90,0,0,https://www.fundsexplorer.com.br/funds/BCFF11
389,2019-07-20 09:36:51.115000,2019-07-20 09:36:51.115000,BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII,BCIA11,124.00,-0.40,1634,1.00,0.83,210mi,4.18,"


                  Fundo de Investimento Imobiliário de prazo indeterminado.
                


",24 de Setembro de 2014,820115,100.00,Ativa,Investidor Qualificado,Títulos e Valores Mobiliários,Títulos e Val Mob,Indeterminado,"0,5 % a.a.",1.0000,2.6500,4.8500,9.0000,0.81,2.14,3.91,7.26,0,0,https://www.fundsexplorer.com.br/funds/BCIA11
390,2019-07-20 09:36:54.507000,2019-07-20 09:36:54.507000,BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB  FII,BCRI11,128.80,+0.63,2859,0.87,0.67,120mi,10.12,"


                  Condomínio fechado, com prazo indeterminado.
Administrador:Banco Fator S.A.
Gestor: Banestes Distribuidora de Títulos e Valores Mobiliários S.A.
Rentabilidade Alvo ao Investidor: IGP-M + 6,0% a.a.
Taxa de Administração: 1,0% a.a. sobre o PL do fundo, sendo que este valor deverá corresponder a, no mínimo, R$ 30.000,00 (trinta mil reais) por mês,
Taxa de Performance: não haverá cobrança de taxa de performance.
Público Alvo: investidores em geral, sejam eles pessoas físicas ou jurídicas, fundos de investimento, entidades abertas ou fechadas de previdência complementar, regimes próprios de previdência social, ou quaisquer outros veículos de investimento, domiciliados ou com sede, conforme o caso, no Brasil e/ou no exterior, sendo vedada, no entanto, a participação de clubes de
investimento.
                


",19 de Março de 2015,500000,100.00,Ativa,Investidores em Geral,Títulos e Valores Mobiliários,Títulos e Val Mob,Indeterminado,"1,0% a.a. sobre o valor de mercado do Fundo",0.8700,2.7400,5.5400,11.4500,0.68,2.13,4.30,8.89,0,0,https://www.fundsexplorer.com.br/funds/BCRI11
