id,created_at,price,product_id,updated_at
1,2019-06-25 12:25:13.478000,"115,90",6801,2019-06-25 12:25:13.478000
2,2019-06-25 12:25:40.486000,"72,90",6805,2019-06-25 12:25:40.486000
3,2019-06-25 12:25:54.118000,"414,00",6807,2019-06-25 12:25:54.118000
4,2019-06-25 12:26:06.681000,"103,90",6809,2019-06-25 12:26:06.681000
5,2019-06-25 12:26:13.178000,"902,41",6810,2019-06-25 12:26:13.178000
6,2019-06-25 12:26:20.373000,"959,41",6811,2019-06-25 12:26:20.373000
7,2019-06-25 12:26:27.329000,"549,00",6812,2019-06-25 12:26:27.329000
8,2019-06-25 12:26:57.810000,"99,90",6817,2019-06-25 12:26:57.810000
9,2019-06-25 12:27:23.666000,"59,90",6821,2019-06-25 12:27:23.666000
10,2019-06-25 12:27:36.228000,"379,90",6823,2019-06-25 12:27:36.228000
11,2019-06-25 12:27:42.161000,"189,00",6824,2019-06-25 12:27:42.161000
12,2019-06-25 12:27:54.525000,"169,00",6826,2019-06-25 12:27:54.525000
13,2019-06-25 12:28:07.047000,"2.169,00",6828,2019-06-25 12:28:07.048000
14,2019-06-25 12:28:13.549000,"1.169,10",6829,2019-06-25 12:28:13.549000
15,2019-06-25 12:28:19.809000,"1.169,10",6830,2019-06-25 12:28:19.809000
16,2019-06-25 12:28:26.361000,"145,90",6831,2019-06-25 12:28:26.361000
17,2019-06-25 12:28:32.350000,"169,00",6832,2019-06-25 12:28:32.350000
18,2019-06-25 12:28:57.356000,"1.601,10",6836,2019-06-25 12:28:57.356000
19,2019-06-25 12:29:03.422000,"1.880,10",6837,2019-06-25 12:29:03.422000
20,2019-06-25 12:36:41.315000,"989,99",16967,2019-06-25 12:36:41.315000
21,2019-06-25 12:37:30.440000,"45,99",9091,2019-06-25 12:37:30.440000
22,2019-06-25 12:38:09.844000,"1.615,00",11959,2019-06-25 12:38:09.844000
23,2019-06-25 12:38:39.631000,"19,90",12111,2019-06-25 12:38:39.631000
24,2019-06-25 12:39:06.022000,"96,90",9336,2019-06-25 12:39:06.022000
25,2019-06-25 12:39:18.953000,"159,90",12568,2019-06-25 12:39:18.953000
26,2019-06-25 12:39:44.819000,"1.729,00",13386,2019-06-25 12:39:44.819000
27,2019-06-25 12:40:40.600000,"629,91",10227,2019-06-25 12:40:40.600000
28,2019-06-25 12:40:53.587000,"49,90",12097,2019-06-25 12:40:53.587000
29,2019-06-25 12:42:39.753000,"60,03",14877,2019-06-25 12:42:39.753000
30,2019-06-25 12:44:11.212000,"124,19",13195,2019-06-25 12:44:11.212000
31,2019-06-25 12:44:32.679000,"899,90",17486,2019-06-25 12:44:32.679000
32,2019-06-25 12:45:56.663000,"199,99",16914,2019-06-25 12:45:56.663000
33,2019-06-25 12:46:10.604000,"60,63",9238,2019-06-25 12:46:10.604000
34,2019-06-25 12:47:07.870000,"51,86",14204,2019-06-25 12:47:07.870000
35,2019-06-25 12:48:05.960000,"18,13",9326,2019-06-25 12:48:05.960000
36,2019-06-25 12:48:19.054000,"859,00",11321,2019-06-25 12:48:19.054000
37,2019-06-25 12:48:25.638000,"629,91",9885,2019-06-25 12:48:25.638000
38,2019-06-25 12:49:28.010000,"88,90",16253,2019-06-25 12:49:28.010000
39,2019-06-25 12:49:53.775000,"141,50",12558,2019-06-25 12:49:53.775000
40,2019-06-25 12:50:18.276000,"21,90",14436,2019-06-25 12:50:18.276000
41,2019-06-25 12:50:31.395000,"58,90",8067,2019-06-25 12:50:31.395000
42,2019-06-25 12:51:04.156000,"287,91",17386,2019-06-25 12:51:04.156000
43,2019-06-25 12:52:06.373000,"256,41",11396,2019-06-25 12:52:06.373000
44,2019-06-25 12:53:29.861000,"4.099,90",11315,2019-06-25 12:53:29.861000
45,2019-06-25 12:53:43.978000,"42,35",14686,2019-06-25 12:53:43.978000
46,2019-06-25 12:55:16.385000,"45,60",7782,2019-06-25 12:55:16.386000
47,2019-06-25 12:56:02.740000,"12,99",15997,2019-06-25 12:56:02.740000
48,2019-06-25 12:57:06.992000,"701,91",11096,2019-06-25 12:57:06.992000
49,2019-06-25 12:57:50.745000,"953,10",11101,2019-06-25 12:57:50.745000
50,2019-06-25 12:58:31.690000,"521,91",9685,2019-06-25 12:58:31.690000
51,2019-06-25 12:59:48.074000,"119,99",11555,2019-06-25 12:59:48.074000
52,2019-06-25 13:00:57.580000,"283,99",17592,2019-06-25 13:00:57.580000
53,2019-06-25 13:01:49.831000,"3.959,10",11072,2019-06-25 13:01:49.831000
54,2019-06-25 13:02:37.924000,"180,41",11443,2019-06-25 13:02:37.924000
55,2019-06-25 13:03:50.176000,"1.869,00",11228,2019-06-25 13:03:50.176000
56,2019-06-25 13:04:03.537000,"419,90",8000,2019-06-25 13:04:03.537000
57,2019-06-25 13:05:51.698000,"37,97",14853,2019-06-25 13:05:51.698000
58,2019-06-25 13:05:57.926000,"121,90",7295,2019-06-25 13:05:57.926000
59,2019-06-25 13:06:49.335000,"2.789,10",10594,2019-06-25 13:06:49.335000
60,2019-06-25 13:10:20.347000,"449,91",17381,2019-06-25 13:10:20.347000
61,2019-06-25 13:13:09.268000,"701,91",11047,2019-06-25 13:13:09.268000
62,2019-06-25 13:16:05.184000,"512,10",10278,2019-06-25 13:16:05.184000
63,2019-06-25 13:16:23.777000,"1.259,91",10326,2019-06-25 13:16:23.777000
64,2019-06-25 13:18:26.558000,"337,41",11123,2019-06-25 13:18:26.558000
65,2019-06-25 13:18:45.393000,"99,00",11368,2019-06-25 13:18:45.393000
66,2019-06-25 13:19:44.262000,"1.979,10",10334,2019-06-25 13:19:44.262000
67,2019-06-25 13:20:00.566000,"139,00",11821,2019-06-25 13:20:00.566000
68,2019-06-25 13:21:10.040000,"7.829,91",11041,2019-06-25 13:21:10.040000
69,2019-06-25 13:21:18.988000,"400,41",11130,2019-06-25 13:21:18.988000
70,2019-06-25 13:21:57.345000,"188,73",15319,2019-06-25 13:21:57.345000
71,2019-06-25 13:22:35.309000,"499,00",16968,2019-06-25 13:22:35.309000
72,2019-06-25 13:25:01.482000,"98,91",9654,2019-06-25 13:25:01.482000
73,2019-06-25 13:25:07.755000,"31,99",17511,2019-06-25 13:25:07.755000
74,2019-06-25 13:25:51.182000,"373,41",9897,2019-06-25 13:25:51.182000
75,2019-06-25 13:27:01.012000,"1.453,10",10814,2019-06-25 13:27:01.012000
76,2019-06-25 13:27:20.337000,"1.199,00",10791,2019-06-25 13:27:20.337000
77,2019-06-25 13:27:26.329000,"379,91",7977,2019-06-25 13:27:26.329000
78,2019-06-25 13:27:52.228000,"188,73",14966,2019-06-25 13:27:52.228000
79,2019-06-25 13:27:57.422000,"807,18",10146,2019-06-25 13:27:57.422000
80,2019-06-25 13:28:33.405000,"1.096,90",13294,2019-06-25 13:28:33.405000
81,2019-06-25 13:29:38.854000,"559,00",17294,2019-06-25 13:29:38.854000
82,2019-06-25 13:31:27.048000,"145,01",15960,2019-06-25 13:31:27.048000
83,2019-06-25 13:32:42.127000,"2.069,91",11112,2019-06-25 13:32:42.127000
84,2019-06-25 13:32:48.456000,"197,90",9213,2019-06-25 13:32:48.456000
85,2019-06-25 13:33:16.266000,"576,76",12932,2019-06-25 13:33:16.266000
86,2019-06-25 13:33:23.888000,"153,70",6863,2019-06-25 13:33:23.888000
87,2019-06-25 13:33:29.772000,"659,00",17256,2019-06-25 13:33:29.772000
88,2019-06-25 13:33:42.568000,"107,91",8704,2019-06-25 13:33:42.568000
89,2019-06-25 13:33:53.430000,"7.019,91",10562,2019-06-25 13:33:53.430000
90,2019-06-25 13:34:03.520000,"283,96",11450,2019-06-25 13:34:03.520000
91,2019-06-25 13:34:10.056000,"142,90",9876,2019-06-25 13:34:10.056000
92,2019-06-25 13:34:29.115000,"349,90",10572,2019-06-25 13:34:29.115000
93,2019-06-25 13:35:35.994000,"12,99",15969,2019-06-25 13:35:35.994000
94,2019-06-25 13:35:42.868000,"3.399,00",7240,2019-06-25 13:35:42.868000
95,2019-06-25 13:35:48.761000,"489,90",10410,2019-06-25 13:35:48.761000
96,2019-06-25 13:35:57.860000,"299,90",17243,2019-06-25 13:35:57.860000
97,2019-06-25 13:36:17.546000,"1.088,00",7024,2019-06-25 13:36:17.546000
98,2019-06-25 13:36:24.029000,"344,90",14386,2019-06-25 13:36:24.029000
99,2019-06-25 13:36:50.977000,"529,00",17489,2019-06-25 13:36:50.977000
100,2019-06-25 13:37:17.652000,"582,97",13458,2019-06-25 13:37:17.652000
101,2019-06-25 13:37:30.366000,"278,01",17323,2019-06-25 13:37:30.366000
102,2019-06-25 13:37:45.284000,"76,30",11541,2019-06-25 13:37:45.284000
103,2019-06-25 13:37:55.920000,"21,46",14203,2019-06-25 13:37:55.920000
104,2019-06-25 13:38:04.307000,"34,99",8846,2019-06-25 13:38:04.307000
105,2019-06-25 13:38:08.984000,"999,90",13335,2019-06-25 13:38:08.984000
106,2019-06-25 13:38:17.198000,"799,90",11320,2019-06-25 13:38:17.198000
107,2019-06-25 13:38:49.273000,"369,52",7136,2019-06-25 13:38:49.273000
108,2019-06-25 13:39:24.377000,"1.299,00",6953,2019-06-25 13:39:24.377000
109,2019-06-25 13:39:40.928000,"96,90",7060,2019-06-25 13:39:40.928000
110,2019-06-25 13:40:07.456000,"13,38",15687,2019-06-25 13:40:07.456000
111,2019-06-25 13:40:35.406000,"141,46",11494,2019-06-25 13:40:35.406000
112,2019-06-25 13:41:13.991000,"53,90",12986,2019-06-25 13:41:13.991000
113,2019-06-25 13:41:37.423000,"1.299,00",7413,2019-06-25 13:41:37.423000
114,2019-06-25 13:43:43.089000,"159,90",11559,2019-06-25 13:43:43.089000
115,2019-06-25 13:45:54.693000,"541,41",11471,2019-06-25 13:45:54.693000
116,2019-06-25 13:46:29.651000,"23,32",14184,2019-06-25 13:46:29.651000
117,2019-06-25 13:46:36.755000,"620,70",10490,2019-06-25 13:46:36.755000
118,2019-06-25 13:46:50.302000,"49,90",14695,2019-06-25 13:46:50.302000
119,2019-06-25 13:47:13.658000,"18,90",14050,2019-06-25 13:47:13.658000
120,2019-06-25 13:48:05.921000,"68,90",11427,2019-06-25 13:48:05.921000
121,2019-06-25 13:48:13.692000,"459,90",12730,2019-06-25 13:48:13.692000
122,2019-06-25 13:48:19.809000,"2.999,00",12046,2019-06-25 13:48:19.809000
